product,ratio,model_type,accuracy,roc_auc,pr_auc,precision_good,precision_bad,recall_good,recall_bad,f1_score_good,f1_score_bad
cashew,100real,DM,0.9500,1.0000,1.0000,1.0000,0.9091,0.9000,1.0000,0.9474,0.9524
cashew,70r_30s,DM,0.9500,1.0000,1.0000,0.9091,1.0000,1.0000,0.9000,0.9524,0.9474
cashew,50_50,DM,0.9500,0.9900,0.9909,0.9091,1.0000,1.0000,0.9000,0.9524,0.9474
cashew,30r_70s,DM,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
cashew,100syn,DM,0.9000,0.9900,0.9909,0.8333,1.0000,1.0000,0.8000,0.9091,0.8889
